case_id;wealth_index;region_combined;province;household_member;woman_member;children_under_5;house_ownership;owns_another_house;rooms_number;bedroom_number;drinking_water_source;non_drinking_water_source;toilet_location;toilet_type;heating;floor_material;refrigerator;deep_freezer;gas_electiric;microwave;dishwasher;garbage_grinder;washing_machine;washer_dryer;iron;vacuum_cleaner;lcd_plasma_tv;home_theather;television;satallite_antenna;cable_tv;dvd_vcd_player;mobile_phone;non_mobile_phone;laptop;computer;internet;air_conditioner;car;taxi_minibus;tractor;motorcycle
      010118;Richer;West - Istanbul - Urban/Metropol;Istanbul;5;1;1;Rented;No;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Stove-wood/coal;Parquet, polished wd;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No;No
      010120;Richer;West - Istanbul - Urban/Metropol;Istanbul;3;1;1;No rent paid;No;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No
      010121;Richer;West - Istanbul - Urban/Metropol;Istanbul;2;1;0;Rented;No;3;1;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No
      010122;Richer;West - Istanbul - Urban/Metropol;Istanbul;3;1;1;Rented;No;3;1;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No
      010123;Middle;West - Istanbul - Urban/Metropol;Istanbul;3;1;1;Owned by a HH member;No;3;3;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No
      010201;Middle;West - Istanbul - Urban/Metropol;Istanbul;3;0;0;Rented;No;4;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No
      010202;Richest;West - Istanbul - Urban/Metropol;Istanbul;5;1;1;No rent paid;No;3;3;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Vinly covering (marley);Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No
      010203;Richer;West - Istanbul - Urban/Metropol;Istanbul;6;3;1;No rent paid;No;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;Yes;No;No;No
      010204;Richer;West - Istanbul - Urban/Metropol;Istanbul;4;1;1;No rent paid;No;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;Yes;No;No
      010205;Richer;West - Istanbul - Urban/Metropol;Istanbul;6;3;0;No rent paid;No;3;3;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Other;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No
      010206;Middle;West - Istanbul - Urban/Metropol;Istanbul;6;1;0;Rented;No;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Stove-wood/coal;Vinly covering (marley);Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No
      010207;Middle;West - Istanbul - Urban/Metropol;Istanbul;6;1;2;Rented;No;4;3;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Stove-wood/coal; ;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No
      010208;Middle;West - Istanbul - Urban/Metropol;Istanbul;3;0;0;Rented;No;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No
      010209;Richest;West - Istanbul - Urban/Metropol;Istanbul;5;1;1;Rented;No;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;No;No;No;Yes;No;No;No
      010210;Richer;West - Istanbul - Urban/Metropol;Istanbul;8;1;0;Rented;No;5;5;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;No;No;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No
      010211;Richest;West - Istanbul - Urban/Metropol;Istanbul;6;2;1;Owned by a HH member;Yes;4;2;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;No
      010213;Poorer;West - Istanbul - Urban/Metropol;Istanbul;4;1;1;Rented;No;3;2;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Stove-wood/coal;Mozaic;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No
      010214;Richer;West - Istanbul - Urban/Metropol;Istanbul;4;1;2;Rented;No;4;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No
      010215;Poorer;West - Istanbul - Urban/Metropol;Istanbul;6;1;2;Owned by a HH member;No;3;2;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Stove-wood/coal;Vinly covering (marley);Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No
      010216;Middle;West - Istanbul - Urban/Metropol;Istanbul;4;1;0;Rented;Yes;4;2;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Stove-wood/coal;Vinly covering (marley);Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;No;No;No;No
      010217;Richest;West - Istanbul - Urban/Metropol;Istanbul;3;1;1;Rented;No;4;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No
      010218;Richer;West - Istanbul - Urban/Metropol;Istanbul;4;1;0;No rent paid;No;3;2;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;No;No;Yes;Yes;Yes;No;No;No;No
      010219;Middle;West - Istanbul - Urban/Metropol;Istanbul;3;1;1;Rented;No;3;2;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Stove-wood/coal;Other;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No
      010220;Richest;West - Istanbul - Urban/Metropol;Istanbul;4;1;0;No rent paid;No;3;3;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No
      010221;Richer;West - Istanbul - Urban/Metropol;Istanbul;3;1;0;Rented;No;4;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Other;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;No;No;No;No
      010222;Middle;West - Istanbul - Urban/Metropol;Istanbul;6;1;0;No rent paid;Yes;4;2;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No
      010223;Richer;West - Istanbul - Urban/Metropol;Istanbul;2;0;0;Owned by a HH member;No;4;1;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Central heating-natural gas;Parquet, polished wd;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No
      010224;Richer;West - Istanbul - Urban/Metropol;Istanbul;3;0;0;Owned by a HH member;Yes;4;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Vinly covering (marley);Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;No;No;Yes;Yes;Yes;Yes;No;No;No
      010225;Richer;West - Istanbul - Urban/Metropol;Istanbul;5;1;0;Owned by a HH member;No;3;3;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;Yes;No;No;Yes;Yes;No;No;No;No;No
      010301;Richest;West - Istanbul - Urban/Metropol;Istanbul;4;1;0;No rent paid;No;3;3;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No
      010302;Poorer;West - Istanbul - Urban/Metropol;Istanbul;4;1;0;Rented;No;3;2;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Vinly covering (marley);Yes;No;Yes;No;No;No;Yes;No;No;Yes;No;No;Yes;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No
      010303;Richer;West - Istanbul - Urban/Metropol;Istanbul;4;1;1;No rent paid;No;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Wood planks;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No
      010304;Richer;West - Istanbul - Urban/Metropol;Istanbul;5;1;0;Owned by a HH member;Yes;4;3;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;Yes;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;Yes;No;No;No
      010305;Richer;West - Istanbul - Urban/Metropol;Istanbul;2;0;0;Owned by a HH member;Yes;4;1;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;Yes;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No
      010306;Richer;West - Istanbul - Urban/Metropol;Istanbul;4;1;0;Owned by a HH member;No;3;3;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No
      010307;Richer;West - Istanbul - Urban/Metropol;Istanbul;4;1;1;Owned by a HH member;No;4;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No
      010309;Middle;West - Istanbul - Urban/Metropol;Istanbul;9;3;1;Owned by a HH member;No;5;5;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Stove-wood/coal;Vinly covering (marley);Yes;No;No;No;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No
      010310;Middle;West - Istanbul - Urban/Metropol;Istanbul;3;1;0;Owned by a HH member;No;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Electric heater;Other;Yes;No;No;No;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No
      010311;Richest;West - Istanbul - Urban/Metropol;Istanbul;4;1;0;Owned by a HH member;No;3;3;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No
      010312;Middle;West - Istanbul - Urban/Metropol;Istanbul;6;1;0;Rented;Yes;3;3;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;No;No;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No
      010313;Richer;West - Istanbul - Urban/Metropol;Istanbul;5;1;0;Owned by a HH member;Yes;3;3;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;No;Yes;Yes;No;No;Yes;No;No;No
      010314;Poorer;West - Istanbul - Urban/Metropol;Istanbul;6;1;2;Owned by a HH member;No;3;2;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Stove-natural gas;Laminate;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No
      010315;Richest;West - Istanbul - Urban/Metropol;Istanbul;3;1;1;Owned by a HH member;No;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Parquet, polished wd;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No
      010316;Richer;West - Istanbul - Urban/Metropol;Istanbul;5;2;1;No rent paid;No;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No
      010317;Richer;West - Istanbul - Urban/Metropol;Istanbul;3;2;0;Rented;No;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Stove-wood/coal;Parquet, polished wd;Yes;Yes;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No
      010318;Poorer;West - Istanbul - Urban/Metropol;Istanbul;5;1;0;Owned by a HH member;No;4;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Stove-wood/coal;Vinly covering (marley);Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No
      010319;Richest;West - Istanbul - Urban/Metropol;Istanbul;4;1;1;Owned by a HH member;No;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Vinly covering (marley);Yes;No;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;No
      010320;Richer;West - Istanbul - Urban/Metropol;Istanbul;7;2;0;Owned by a HH member;No;4;3;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No
      010321;Richest;West - Istanbul - Urban/Metropol;Istanbul;7;2;1;Owned by a HH member;No;4;2;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No
      010322;Richest;West - Istanbul - Urban/Metropol;Istanbul;4;1;1;Owned by a HH member;Yes;3;2;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;No;No
      010323;Middle;West - Istanbul - Urban/Metropol;Istanbul;4;1;1;Rented;No;3;1;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Other;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No
      010324;Richer;West - Istanbul - Urban/Metropol;Istanbul;5;2;0;Rented;Yes;3;3;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Vinly covering (marley);Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No
      010401;Middle;West - Istanbul - Urban/Metropol;Istanbul;1;0;0;Rented;No;2;1;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Electric heater;Other;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No
      010402;Middle;West - Istanbul - Urban/Metropol;Istanbul;4;1;1;Rented;No;4;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Stove-natural gas;Tile;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No
      010403;Richest;West - Istanbul - Urban/Metropol;Istanbul;5;1;1;Owned by a HH member;No;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No
      010404;Middle;West - Istanbul - Urban/Metropol;Istanbul;5;1;1;Owned by a HH member;No;3;3;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No
      010405;Poorer;West - Istanbul - Urban/Metropol;Istanbul;8;2;0;Owned by a HH member;No;3;2;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No
      010406;Middle;West - Istanbul - Urban/Metropol;Istanbul;3;1;0;Rented;No;4;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;Yes;No;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No
      010407;Poorer;West - Istanbul - Urban/Metropol;Istanbul;3;1;1;Owned by a HH member;No;3;2;Public tap/standpipe;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;No;No
      010408;Richest;West - Istanbul - Urban/Metropol;Istanbul;3;0;0;Owned by a HH member;Yes;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Stove-wood/coal;Parquet, polished wd;Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No
      010409;Richer;West - Istanbul - Urban/Metropol;Istanbul;4;1;0;Rented;No;3;2;Bottled/demijohn/pet water;Piped into dwelling;Inside;Flush toilet;Stove-wood/coal;Other;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No
      010410;Richest;West - Istanbul - Urban/Metropol;Istanbul;4;2;0;Owned by a HH member;Yes;3;3;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No
      010411;Middle;West - Istanbul - Urban/Metropol;Istanbul;2;0;0;Rented;No;3;1;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Stove-wood/coal;Vinly covering (marley);Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No
      010412;Middle;West - Istanbul - Urban/Metropol;Istanbul;3;1;0;Owned by a HH member;No;3;2;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Flat heating-natural gas;Laminate;Yes;No;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;Yes
      010413;Middle;West - Istanbul - Urban/Metropol;Istanbul;5;2;0;Owned by a HH member;No;5;3;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Stove-wood/coal;Vinly covering (marley);Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No
      010414;Middle;West - Istanbul - Urban/Metropol;Istanbul;6;1;1;Rented;No;4;3;Piped into dwelling;Piped into dwelling;Inside;Flush toilet;Stove-wood/coal;Vinly covering (marley);Yes;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No
